message,timestamp,severity,tags,attributes
[deps 2/4] WORKDIR /app,2026-08-20T20:57:04.935482165Z,info,"{""serviceId"":""321437b3-d38c-426a-bb2e-762c587f1947"",""deploymentId"":""8f015a8f-c580-4a39-b708-e2e1f6486138"",""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""type"":""vertex"",""digest"":""sha256:df74c3ee1ffc324fd209ac5c2e65b5ddf80af2ef6f3e460f6b9c149d133823eb"",""inputs"":[""sha256:97852eeef387b117dacf761a5ba4848d27868a6b797f238c32f9c7ce7940a981""],""started"":""2026-08-20T20:56:36.077983584Z"",""completed"":""2026-08-20T20:56:36.07815409Z"",""cached"":true}"
[deps 2/4] WORKDIR /app,2026-08-20T20:57:04.935482886Z,info,"{""serviceId"":""321437b3-d38c-426a-bb2e-762c587f1947"",""deploymentId"":""8f015a8f-c580-4a39-b708-e2e1f6486138"",""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""type"":""vertex"",""digest"":""sha256:df74c3ee1ffc324fd209ac5c2e65b5ddf80af2ef6f3e460f6b9c149d133823eb"",""inputs"":[""sha256:97852eeef387b117dacf761a5ba4848d27868a6b797f238c32f9c7ce7940a981""],""started"":""2026-08-20T20:56:36.077983584Z"",""completed"":""2026-08-20T20:56:36.07815409Z"",""cached"":true}"
[internal] load build context,2026-08-20T20:57:04.935702215Z,info,"{""serviceId"":""321437b3-d38c-426a-bb2e-762c587f1947"",""deploymentId"":""8f015a8f-c580-4a39-b708-e2e1f6486138"",""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""type"":""vertex"",""digest"":""sha256:4ff3014af8cc0361ec66b16b018307afa4e6257d268bb5be3e076b05fbdd5257"",""started"":""2026-08-20T20:57:04.935462345Z"",""completed"":""2026-08-20T20:57:04.935505239Z""}"
[internal] load build context,2026-08-20T20:57:04.937433304Z,info,"{""serviceId"":""321437b3-d38c-426a-bb2e-762c587f1947"",""deploymentId"":""8f015a8f-c580-4a39-b708-e2e1f6486138"",""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""type"":""vertex"",""digest"":""sha256:4ff3014af8cc0361ec66b16b018307afa4e6257d268bb5be3e076b05fbdd5257"",""started"":""2026-08-20T20:57:04.937135387Z""}"
"scheduling build on Metal builder ""builder-malfmm""",2026-08-20T20:57:05.043629184Z,info,"{""serviceId"":""321437b3-d38c-426a-bb2e-762c587f1947"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info""}"
[internal] load build context,2026-08-20T20:57:05.127864454Z,info,"{""serviceId"":""321437b3-d38c-426a-bb2e-762c587f1947"",""deploymentId"":""8f015a8f-c580-4a39-b708-e2e1f6486138"",""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""type"":""vertex"",""digest"":""sha256:4ff3014af8cc0361ec66b16b018307afa4e6257d268bb5be3e076b05fbdd5257"",""started"":""2026-08-20T20:57:04.937135387Z"",""completed"":""2026-08-20T20:57:05.127544514Z""}"
[application-build 3/7] COPY package.json package-lock.json ./,2026-08-20T20:57:05.153456666Z,info,"{""serviceId"":""321437b3-d38c-426a-bb2e-762c587f1947"",""deploymentId"":""8f015a8f-c580-4a39-b708-e2e1f6486138"",""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""type"":""vertex"",""digest"":""sha256:f369017669864b971082f833d349abfb8171c94db0abe08be3861196243f3496"",""inputs"":[""sha256:df74c3ee1ffc324fd209ac5c2e65b5ddf80af2ef6f3e460f6b9c149d133823eb"",""sha256:4ff3014af8cc0361ec66b16b018307afa4e6257d268bb5be3e076b05fbdd5257""],""started"":""2026-08-20T20:57:05.153149816Z"",""completed"":""2026-08-20T20:57:05.153221002Z"",""cached"":true}"
"[application-build 4/7] RUN echo ""Installing build dependencies (epoch 20260820-1935-single-install)""   && rm -rf node_modules   && npm ci --include=dev --no-audit --no-fund   --fetch-retries=2 --fetch-retry-factor=2   --fetch-retry-mintimeout=1000 --fetch-retry-maxtimeout=10000   --fetch-timeout=120000   && test -x node_modules/.bin/tsx   && test -x node_modules/.bin/vite",2026-08-20T20:57:05.153497798Z,info,"{""serviceId"":""321437b3-d38c-426a-bb2e-762c587f1947"",""deploymentId"":""8f015a8f-c580-4a39-b708-e2e1f6486138"",""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""type"":""vertex"",""digest"":""sha256:b8809c275a1e468fd91eacb44c8fb09f7936dcb77f20560d4db864ac5c3e839b"",""inputs"":[""sha256:f369017669864b971082f833d349abfb8171c94db0abe08be3861196243f3496""],""started"":""2026-08-20T20:57:05.153345049Z""}"
"Installing build dependencies (epoch 20260820-1935-single-install)
",2026-08-20T20:57:05.250988023Z,info,"{""serviceId"":""321437b3-d38c-426a-bb2e-762c587f1947"",""deploymentId"":""8f015a8f-c580-4a39-b708-e2e1f6486138"",""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""type"":""log"",""vertex"":""sha256:b8809c275a1e468fd91eacb44c8fb09f7936dcb77f20560d4db864ac5c3e839b"",""stream"":1,""data"":""SW5zdGFsbGluZyBidWlsZCBkZXBlbmRlbmNpZXMgKGVwb2NoIDIwMjYwODIwLTE5MzUtc2luZ2xlLWluc3RhbGwpCg=="",""timestamp"":""2026-08-20T20:57:05.250988023Z""}"
uploading snapshot,2026-08-20T20:57:07.536438216Z,info,"{""serviceId"":""321437b3-d38c-426a-bb2e-762c587f1947"",""deploymentId"":""8f015a8f-c580-4a39-b708-e2e1f6486138"",""deploymentInstanceId"":null}","{""level"":""info"",""source"":""railway.progress"",""status"":""complete"",""size"":121680894,""duration_ms"":3265}"
"npm warn deprecated node-domexception@1.0.0: Use your platform's native DOMException instead
",2026-08-20T20:57:09.025488471Z,info,"{""serviceId"":""321437b3-d38c-426a-bb2e-762c587f1947"",""deploymentId"":""8f015a8f-c580-4a39-b708-e2e1f6486138"",""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""type"":""log"",""vertex"":""sha256:b8809c275a1e468fd91eacb44c8fb09f7936dcb77f20560d4db864ac5c3e839b"",""stream"":2,""data"":""bnBtIHdhcm4gZGVwcmVjYXRlZCBub2RlLWRvbWV4Y2VwdGlvbkAxLjAuMDogVXNlIHlvdXIgcGxhdGZvcm0ncyBuYXRpdmUgRE9NRXhjZXB0aW9uIGluc3RlYWQK"",""timestamp"":""2026-08-20T20:57:09.025488471Z""}"
"npm notice
npm notice New major version of npm available! 10.8.2 -> 12.0.2
npm notice Changelog: https://github.com/npm/cli/releases/tag/v12.0.2
npm notice To update run: npm install -g npm@12.0.2
npm notice
",2026-08-20T20:57:10.733475863Z,info,"{""serviceId"":""321437b3-d38c-426a-bb2e-762c587f1947"",""deploymentId"":""8f015a8f-c580-4a39-b708-e2e1f6486138"",""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""type"":""log"",""vertex"":""sha256:b8809c275a1e468fd91eacb44c8fb09f7936dcb77f20560d4db864ac5c3e839b"",""stream"":2,""data"":""bnBtIG5vdGljZQpucG0gbm90aWNlIE5ldyBtYWpvciB2ZXJzaW9uIG9mIG5wbSBhdmFpbGFibGUhIDEwLjguMiAtPiAxMi4wLjIKbnBtIG5vdGljZSBDaGFuZ2Vsb2c6IGh0dHBzOi8vZ2l0aHViLmNvbS9ucG0vY2xpL3JlbGVhc2VzL3RhZy92MTIuMC4yCm5wbSBub3RpY2UgVG8gdXBkYXRlIHJ1bjogbnBtIGluc3RhbGwgLWcgbnBtQDEyLjAuMgpucG0gbm90aWNlCg=="",""timestamp"":""2026-08-20T20:57:10.733475863Z""}"
"npm error Exit handler never called!
npm error This is an error with npm itself. Please report this error at:
npm error   <https://github.com/npm/cli/issues>
",2026-08-20T20:57:10.733564306Z,info,"{""serviceId"":""321437b3-d38c-426a-bb2e-762c587f1947"",""deploymentId"":""8f015a8f-c580-4a39-b708-e2e1f6486138"",""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""type"":""log"",""vertex"":""sha256:b8809c275a1e468fd91eacb44c8fb09f7936dcb77f20560d4db864ac5c3e839b"",""stream"":2,""data"":""bnBtIGVycm9yIEV4aXQgaGFuZGxlciBuZXZlciBjYWxsZWQhCm5wbSBlcnJvciBUaGlzIGlzIGFuIGVycm9yIHdpdGggbnBtIGl0c2VsZi4gUGxlYXNlIHJlcG9ydCB0aGlzIGVycm9yIGF0OgpucG0gZXJyb3IgICA8aHR0cHM6Ly9naXRodWIuY29tL25wbS9jbGkvaXNzdWVzPgo="",""timestamp"":""2026-08-20T20:57:10.733564306Z""}"
"npm error A complete log of this run can be found in: /root/.npm/_logs/2026-08-20T20_57_05_309Z-debug-0.log
",2026-08-20T20:57:10.733817045Z,info,"{""serviceId"":""321437b3-d38c-426a-bb2e-762c587f1947"",""deploymentId"":""8f015a8f-c580-4a39-b708-e2e1f6486138"",""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""type"":""log"",""vertex"":""sha256:b8809c275a1e468fd91eacb44c8fb09f7936dcb77f20560d4db864ac5c3e839b"",""stream"":2,""data"":""bnBtIGVycm9yIEEgY29tcGxldGUgbG9nIG9mIHRoaXMgcnVuIGNhbiBiZSBmb3VuZCBpbjogL3Jvb3QvLm5wbS9fbG9ncy8yMDI2LTA4LTIwVDIwXzU3XzA1XzMwOVotZGVidWctMC5sb2cK"",""timestamp"":""2026-08-20T20:57:10.733817045Z""}"
"[application-build 4/7] RUN echo ""Installing build dependencies (epoch 20260820-1935-single-install)""   && rm -rf node_modules   && npm ci --include=dev --no-audit --no-fund   --fetch-retries=2 --fetch-retry-factor=2   --fetch-retry-mintimeout=1000 --fetch-retry-maxtimeout=10000   --fetch-timeout=120000   && test -x node_modules/.bin/tsx   && test -x node_modules/.bin/vite",2026-08-20T20:57:11.403834192Z,error,"{""serviceId"":""321437b3-d38c-426a-bb2e-762c587f1947"",""deploymentId"":""8f015a8f-c580-4a39-b708-e2e1f6486138"",""deploymentInstanceId"":null}","{""level"":""error"",""source"":""buildkit"",""type"":""vertex"",""digest"":""sha256:b8809c275a1e468fd91eacb44c8fb09f7936dcb77f20560d4db864ac5c3e839b"",""inputs"":[""sha256:f369017669864b971082f833d349abfb8171c94db0abe08be3861196243f3496""],""started"":""2026-08-20T20:57:05.153345049Z"",""completed"":""2026-08-20T20:57:11.403312909Z"",""error"":""process \""/bin/sh -c echo \\\""Installing build dependencies (epoch ${BUILD_DEPENDENCY_EPOCH})\\\""   && rm -rf node_modules   && npm ci --include=dev --no-audit --no-fund   --fetch-retries=2 --fetch-retry-factor=2   --fetch-retry-mintimeout=1000 --fetch-retry-maxtimeout=10000   --fetch-timeout=120000   && test -x node_modules/.bin/tsx   && test -x node_modules/.bin/vite\"" did not complete successfully: exit code: 1""}"
"Build Failed: build daemon returned an error < failed to solve: process ""/bin/sh -c echo \""Installing build dependencies (epoch ${BUILD_DEPENDENCY_EPOCH})\""   && rm -rf node_modules   && npm ci --include=dev --no-audit --no-fund   --fetch-retries=2 --fetch-retry-factor=2   --fetch-retry-mintimeout=1000 --fetch-retry-maxtimeout=10000   --fetch-timeout=120000   && test -x node_modules/.bin/tsx   && test -x node_modules/.bin/vite"" did not complete successfully: exit code: 1 >",2026-08-20T20:57:11.440930055Z,error,"{""serviceId"":""321437b3-d38c-426a-bb2e-762c587f1947"",""deploymentId"":""8f015a8f-c580-4a39-b708-e2e1f6486138"",""deploymentInstanceId"":null}","{""level"":""error""}"
